Year,PPG,FPG,3PA,FTA
1999-2000,97.5,23.3,13.7,25.3
2000-2001,94.8,22.3,13.7,24.9
2001-2002,95.5,21.2,14.7,23.8
2002-2003,95.1,21.8,14.7,24.4
2003-2004,93.4,21.4,14.9,24.2
2004-2005,97.2,22.6,15.8,26.1
2005-2006,97,22.8,16,26.3
2006-2007,98.7,22.2,16.9,26.1
2007-2008,99.9,21,18.1,24.9
2008-2009,100,21,18.1,24.7
2009-2010,100.4,20.9,18.1,24.5
2010-2011,99.6,20.7,18,24.4
2011-2012,96.3,19.6,18.4,22.5
2012-2013,98.1,19.8,20,22.2
2013-2014,101,20.7,21.5,23.6
2014-2015,100,20.2,22.4,22.8
2015-2016,102.7,20.3,24.1,23.4
2016-2017,105.6,19.9,27,23.1
2017-18,106.3,19.9,29,21.7
2018-19,111.2,20.9,32,23.1
